event_id,event_type,region,subregion,affected_customers,start_time,end_time,duration_minutes,cause_category,cause_description,resolution_description,saidi_minutes,saifi_count
d74d7e3a-0fdd-4fbb-bc2b-53a0c23ab6bc,emergency,QLD,Gold Coast,114,2025-07-20T02:07:34,2025-07-20T07:09:34,302,vegetation,Eucalyptus tree contact during high-wind event. Vegetation inspection history shows compliance with minimum clearance standards — extreme wind deflection beyond design assumption.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000466,9.1e-05
f0f36351-89cf-4d58-8f9a-71b3d919c7c4,planned,SA,Victor Harbor,143,2025-12-25T22:15:04,2025-12-26T00:40:04,145,equipment_failure,Circuit breaker mal-operated during routine switching sequence. Root cause: mechanical latch fatigue on main trip mechanism.,Protection settings reviewed and corrected following investigation. Coordination test conducted prior to re-energisation.,0.000359,0.000117
d30efa67-a534-4437-a515-7e854bae953e,unplanned,WA,Albany,180,2025-11-23T21:44:39,2025-11-23T22:11:39,27,equipment_failure,Cable joint failure on 11kV underground circuit — XLPE splice integrity compromised following trenching works by third party three months prior.,Emergency crew mobilised overnight. Damaged poles replaced using hydraulic digger-derrick. Supply restored by 06:15 following morning.,9.1e-05,0.00018
790a36e8-d309-44e4-a3f3-1b943032fee1,unplanned,NSW,Wollongong,418,2024-08-21T13:32:43,2024-08-21T14:13:43,41,equipment_failure,Circuit breaker mal-operated during routine switching sequence. Root cause: mechanical latch fatigue on main trip mechanism.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.000299,0.000335
7747cb2b-8d96-4778-95d5-81ebab4a513b,planned,WA,Perth CBD,166,2024-04-06T07:02:58,2024-04-06T08:04:58,62,vegetation,Eucalyptus tree contact during high-wind event. Vegetation inspection history shows compliance with minimum clearance standards — extreme wind deflection beyond design assumption.,Emergency crew mobilised overnight. Damaged poles replaced using hydraulic digger-derrick. Supply restored by 06:15 following morning.,0.000203,0.000163
9274d092-0b5b-45c4-a5ef-27efa4fb5b68,unplanned,NSW,Port Macquarie,995,2024-05-09T09:01:26,2024-05-09T09:52:26,51,vegetation,Tree fell across multiple spans during night storm. Difficult terrain access extended restoration time by 3.5 hours.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.000811,0.000877
37060dc8-5cf6-479a-aedd-4bef636d3653,planned,WA,Albany,244,2023-10-17T09:39:08,2023-10-17T12:24:08,165,weather,Salt spray deposited on insulator strings during northerly wind event — surface tracking caused fault on 66kV line.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.000795,0.000248
9353a5e7-29e9-491a-ae21-00aa18913085,unplanned,VIC,Shepparton,3801,2023-11-05T21:29:46,2023-11-06T01:25:46,236,equipment_failure,Switchgear flashover triggered by contaminated busbar surface. Atmospheric salt pollution elevated following coastal storm event.,Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.014744,0.003975
2fb710ec-f994-43ef-9bd0-7d0f60413c4e,unplanned,QLD,Brisbane CBD,124,2023-07-22T18:57:15,2023-07-22T19:51:15,54,equipment_failure,Voltage regulator malfunction caused sustained over-voltage condition. Customer voltage complaints triggered investigation.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000121,0.000127
92f10205-3d76-49bf-91ea-c1e4ca66e34f,unplanned,QLD,Brisbane CBD,389,2024-02-11T22:11:04,2024-02-11T23:05:04,54,weather,Dust storm reduced visibility and deposited abrasive particulates in open-type switchgear — accelerated wear on contacts identified.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.00038,0.000444
