asset_id,asset_type,asset_name,region,subregion,installation_date,manufacturer,model,rated_capacity_kva,last_inspection_date,condition_score,latitude,longitude,notes
bf5dd585-77b2-45a0-9bc4-24fccea99f72,pole,Pole-QLD-0001,QLD,Brisbane CBD,1994-07-01,Eaton,SteelPole-15m,,2025-04-07,5.7,27.31261,152.47147,Oil leakage detected on lower tank seam.
aceaa2c3-ba3e-4731-b296-bfe9f262da47,transformer,Transformer-QLD-0002,QLD,Bundaberg,2000-01-02,Lucy Electric,EcoStar 800,100.0,2022-10-27,5.3,26.94426,152.3804,Lightning arrestor earthing lead corroded.
f4cd90b8-19af-4486-8227-48462314a50f,transformer,Transformer-SA-0003,SA,Mount Gambier,2008-05-29,Siemens,PowerGard 500,100.0,2024-02-19,6.8,34.80544,138.43135,Nameplate illegible — asset records confirm ratings.
9175cf2c-2d11-4d13-8668-1a817816dc3a,pole,Pole-QLD-0004,QLD,Toowoomba,2000-07-05,Siemens,WoodPole-12m,,2025-07-29,8.0,26.59318,155.62908,Earthing mat connection verified and in good condition.
f04fc705-83e5-489e-a0e6-415555aa9fc6,substation,Substation-VIC-0005,VIC,Latrobe Valley,1996-08-24,GE Grid Solutions,SS-Primary-132kV,100000.0,2023-07-18,5.2,37.62431,144.86606,Relay coordination settings require review after network topology change.
0891d04c-a4c6-43b4-af8d-84ea47bbf428,substation,Substation-SA-0006,SA,Adelaide CBD,2012-04-20,ABB,SS-Distribution-11kV,25000.0,2021-04-11,5.1,33.83838,139.89998,Paint delamination on weathering-steel structure.
d42be9fb-2172-42d5-8eb3-c0fd3883aa9f,substation,Substation-VIC-0007,VIC,Ballarat,2014-02-26,Lucy Electric,SS-Distribution-11kV,25000.0,2023-12-18,8.7,37.19537,146.87914,Paint delamination on weathering-steel structure.
cf80ae68-f772-46e4-8163-d0cd1ecea472,meter,Meter-VIC-0008,VIC,Ballarat,2011-03-09,Toshiba Energy Systems,Landis+Gyr E470,10.0,2022-03-31,7.4,37.22342,146.20641,Relay coordination settings require review after network topology change.
f121e8e1-ecbc-431a-8b36-ec4bf563c927,pole,Pole-QLD-0009,QLD,Cairns,2004-12-21,Mitsubishi Electric,WoodPole-12m,,2022-09-12,4.5,25.67474,155.82022,Switchgear SF6 pressure low — schedule refill.
eec38fb8-06b7-4287-b41c-62ef0c7eed98,pole,Pole-NSW-0010,NSW,Port Macquarie,1995-12-30,Schneider Electric,CompositePole-11m,,2023-08-03,6.8,33.7322,151.33341,Paint delamination on weathering-steel structure.
a7736144-27aa-4a1b-a24d-d827b8db4093,substation,Substation-WA-0011,WA,Kalgoorlie,1990-10-30,Eaton,SS-Primary-132kV,200000.0,2025-03-23,4.3,30.47973,114.89076,Nameplate illegible — asset records confirm ratings.
d5edfa29-051d-4f5c-8ceb-1fd11818d461,meter,Meter-QLD-0012,QLD,Mackay,2006-03-19,Lucy Electric,Itron Riva,160.0,2022-05-24,5.4,27.00419,151.58614,Partial discharge measured at 450 pC — monitor monthly.
dbf9e9dc-63b4-4c12-b393-7b0a375a7dc4,substation,Substation-VIC-0013,VIC,Wodonga,1989-10-31,Eaton,SS-Primary-132kV,10000.0,2025-01-08,5.6,37.38868,144.69429,Corrosion on clamp hardware — recommend replacement within 6 months.
