settlement_date,region_id,rrp,raise_6sec,lower_6sec,total_demand_mw,net_interchange,scheduled_generation
2025-08-23 23:30:00,SA1,89.29,4.79,1.46,1583.1,-173.5,1538.6
2025-09-19 17:30:00,NSW1,253.82,3.54,2.63,8333.3,410.5,7213.7
2025-08-05 01:00:00,NSW1,122.01,1.74,1.47,4853.5,100.9,4619.2
2025-05-31 23:00:00,VIC1,89.09,4.19,1.04,4755.7,-241.2,4357.2
2025-09-06 01:00:00,TAS1,51.71,4.2,0.25,797.6,-107.4,897.1
2025-05-27 15:00:00,TAS1,61.67,1.17,0.74,1050.4,13.9,932.4
2025-07-13 08:00:00,SA1,70.32,1.23,1.36,1458.6,-12.2,1403.9
2025-10-23 18:00:00,SA1,149.1,10.06,1.71,1740.9,-173.8,1694.6
2025-08-16 13:00:00,NSW1,-716.5,34.49,13.15,7173.8,-607.4,8134.9
2025-09-07 20:30:00,QLD1,37.06,3.44,1.04,6702.6,-13.5,6459.3
2025-11-15 14:00:00,QLD1,75.08,0.78,0.43,5768.8,246.2,5189.4
2025-07-03 21:30:00,TAS1,92.18,7.26,1.12,971.2,-28.9,920.2
2025-10-25 01:30:00,VIC1,58.34,0.21,2.91,4391.9,274.6,3865.8
2025-10-07 20:00:00,SA1,70.07,0.9,1.29,1427.0,141.4,1113.2
2025-08-01 03:30:00,TAS1,156.09,5.85,2.68,760.7,-114.2,764.7
2025-07-10 23:30:00,SA1,49.89,0.77,6.07,1469.5,67.6,1395.9
2025-07-12 20:00:00,QLD1,61.22,0.15,0.88,6617.7,97.1,5958.3
2025-08-08 10:30:00,VIC1,67.92,1.02,1.86,5773.6,34.4,5638.8
2025-09-17 08:30:00,SA1,91.95,2.42,1.48,1298.1,-235.0,1523.4
2025-08-14 02:00:00,NSW1,89.65,0.77,1.9,5451.1,1006.4,4204.8
2025-06-19 19:00:00,SA1,841.04,44.52,13.5,1916.4,221.7,1466.7
2025-11-13 21:00:00,TAS1,72.34,0.45,0.32,1005.5,2.1,884.7
2025-08-02 19:00:00,NSW1,132.2,0.95,1.9,7782.4,69.1,6907.4
2025-11-02 08:00:00,VIC1,46.41,2.56,1.56,5483.2,-146.0,5185.6
2025-06-27 11:00:00,NSW1,32.65,3.85,0.67,7541.0,345.0,6449.5
2025-07-13 17:00:00,TAS1,203.5,4.41,2.5,1279.8,170.8,1094.7
2025-10-12 09:00:00,QLD1,112.49,1.07,3.28,6051.5,-668.2,6585.1
2025-07-13 16:30:00,VIC1,281.7,7.41,14.9,5446.5,-201.9,5095.5
2025-11-02 21:00:00,NSW1,133.17,1.85,2.12,6508.7,736.8,5203.3
2025-08-08 19:30:00,VIC1,120.93,9.45,1.23,6277.2,304.7,5701.4
2025-08-15 03:30:00,TAS1,50.42,2.43,1.16,673.1,-9.7,680.8
2025-05-24 17:30:00,NSW1,272.27,3.54,3.85,8067.8,559.3,7068.9
2025-08-08 21:00:00,SA1,62.39,0.82,2.52,1512.4,-306.5,1701.6
2025-07-19 05:30:00,QLD1,69.93,1.51,1.64,4131.9,964.9,2732.6
2025-08-31 17:00:00,NSW1,141.75,12.58,1.1,8834.1,-9.0,8009.4
2025-11-13 05:30:00,VIC1,167.86,4.1,0.89,4046.9,136.3,3679.3
2025-05-26 13:00:00,NSW1,81.57,2.65,0.55,7208.4,-451.3,7958.5
2025-10-23 13:30:00,NSW1,117.69,1.17,3.86,6701.0,689.4,6168.2
2025-08-04 18:00:00,QLD1,211.39,9.58,11.92,6675.2,127.8,5880.2
2025-08-29 09:30:00,VIC1,43.3,1.32,3.25,4997.9,176.2,4620.4
2025-08-17 13:00:00,NSW1,52.22,1.47,1.09,6573.4,-399.6,7024.8
2025-08-20 08:30:00,QLD1,78.53,15.99,2.21,5843.3,-126.8,5881.3
2025-10-21 02:30:00,TAS1,186.95,1.66,3.94,772.0,1.3,792.7
2025-11-12 00:30:00,NSW1,97.31,6.06,1.06,5193.6,673.5,4366.0
2025-11-20 04:30:00,NSW1,46.85,1.09,0.53,4717.0,159.8,4742.1
2025-09-08 23:00:00,NSW1,79.19,2.93,0.81,7294.6,-342.0,6718.5
2025-09-28 10:30:00,NSW1,112.05,0.82,3.24,6994.0,91.5,6725.4
2025-11-11 14:30:00,QLD1,66.82,2.43,0.45,6168.2,246.3,5043.9
2025-11-09 18:30:00,SA1,704.55,28.96,16.13,1689.9,-76.1,1701.1
2025-11-21 15:00:00,NSW1,157.33,1.96,1.88,6521.3,-604.5,6828.3
2025-06-01 11:30:00,QLD1,149.62,2.67,1.23,6581.0,595.8,5531.7
2025-05-30 03:30:00,VIC1,73.88,2.49,1.81,3980.3,-385.2,4001.5
2025-09-06 16:30:00,QLD1,385.32,7.3,10.93,7376.1,-373.5,6727.7
2025-06-14 13:30:00,SA1,190.11,1.69,1.09,1316.9,38.1,1269.9
2025-10-28 05:00:00,NSW1,56.11,2.54,2.86,5257.0,-839.6,5812.4
2025-10-09 13:00:00,VIC1,130.06,0.6,0.63,5895.7,-372.4,5498.9
2025-06-16 00:00:00,NSW1,34.71,2.35,0.59,5551.6,790.4,4181.3
2025-06-15 23:00:00,SA1,53.52,0.65,2.17,1358.9,168.0,1245.4
2025-06-12 04:30:00,TAS1,54.83,2.67,0.92,696.7,-7.6,671.2
2025-07-25 05:00:00,QLD1,111.85,1.06,3.61,4008.5,-943.0,5117.9
2025-10-24 19:00:00,TAS1,176.69,1.26,2.34,1097.4,-16.3,1048.5
2025-07-17 14:30:00,QLD1,111.02,3.41,2.15,6088.8,-762.9,6476.3
2025-09-29 04:00:00,SA1,42.69,0.5,0.35,1081.5,39.2,1075.5
2025-09-01 07:00:00,SA1,90.7,1.27,1.88,1342.5,-70.0,1457.4
2025-09-10 18:30:00,NSW1,152.29,3.42,1.39,8393.3,-851.3,9208.3
2025-06-02 05:00:00,SA1,32.07,1.12,1.02,903.0,141.3,786.7
2025-09-24 03:00:00,QLD1,38.32,1.03,4.34,4261.2,217.6,3480.7
2025-08-14 02:00:00,NSW1,57.65,0.8,0.11,5615.4,447.7,4493.9
2025-06-18 09:30:00,NSW1,74.11,1.11,2.54,7132.2,-1336.2,8012.5
2025-09-02 02:00:00,VIC1,93.63,0.73,1.19,3750.1,-429.0,4051.4
2025-09-11 22:30:00,NSW1,139.83,0.96,4.2,6386.8,-174.2,6567.6
2025-06-14 16:30:00,TAS1,317.57,17.56,5.93,1148.5,34.9,1116.2
2025-08-23 01:30:00,SA1,7564.43,133.9,50.6,964.9,-113.1,1112.0
2025-07-25 03:30:00,TAS1,37.94,1.24,2.07,732.5,38.9,606.7
2025-10-07 22:30:00,QLD1,45.41,0.44,0.4,6329.5,804.3,5432.3
2025-08-23 20:00:00,TAS1,53.4,0.36,1.41,1033.0,-58.7,977.9
2025-05-30 02:00:00,SA1,160.6,6.61,1.75,1028.8,126.6,941.4
2025-07-18 07:30:00,QLD1,43.55,1.57,0.5,5995.2,386.2,5807.2
2025-09-03 12:00:00,QLD1,57.58,4.21,0.47,7246.3,-442.1,7442.5
2025-08-08 01:00:00,NSW1,106.06,2.76,3.1,5914.0,-1499.8,7336.5
2025-07-11 14:30:00,NSW1,77.56,0.8,1.34,7271.2,-409.6,6801.5
