doc_id,doc_type,title,department,effective_date,review_date,content,version,classification
DOC-0001,data_governance,Data Governance — Engineering Services v1.8,Engineering Services,2021-02-05,2022-02-05,"Data Governance Policy v1.8 — Engineering Services

1. PURPOSE
Establish accountabilities, standards, and controls for the management of data assets across the organisation, ensuring data quality, security, lineage, and regulatory compliance.

2. DATA CLASSIFICATION
All data assets must be classified as: Public, Internal, Restricted, or Confidential. Customer metering data, personal information, and grid operational data are classified Restricted by default.

3. DATA STEWARDSHIP
Each business unit must appoint a Data Steward responsible for cataloguing, quality monitoring, and access management of their data products. Data Stewards report quarterly to the Data Governance Committee.

4. RETENTION AND DISPOSAL
Meter data: retain for 7 years per NEM Rules. Customer personal data: retain for 7 years post-contract end. Operational logs: retain for 3 years. Disposal must be documented and approved.

5. PRIVACY
All data handling involving personal information must comply with the Privacy Act 1988 (Cth), Australian Privacy Principles, and state privacy legislation. Privacy Impact Assessments are mandatory for new data sharing arrangements and analytics use cases involving personal data.",1.8,internal
DOC-0002,safety_procedure,Safety Procedure — Asset Management v4.9,Asset Management,2020-08-26,2022-08-26,"Safety Procedure SP-4.9 — Isolation and Earthing of High-Voltage Equipment — Asset Management

1. OBJECTIVE
To prevent injury or death from unintended energisation of high-voltage equipment during maintenance or construction activities.

2. APPLICABILITY
All authorised HV switching operators and maintenance personnel working on assets rated 1kV to 275kV.

3. PROCEDURE
Step 1: Obtain isolation authority from the Network Operations Controller.
Step 2: Identify and confirm correct isolation points using approved single-line diagrams.
Step 3: Operate isolation devices in the correct sequence — open circuit breaker, open isolator, apply locks and danger tags.
Step 4: Apply high-voltage earths to all potentially energised conductors on both source and load sides of work zone.
Step 5: Test for absence of voltage using approved HV test equipment before commencing work.

4. RESTORATION
Restoration must follow reverse sequence. All earths must be removed and accounted for. Confirmation must be given to NOC before any switching.

5. REFERENCES
AS/NZS 3000, Electricity Safety Act 1998, Network Safety Rules v4.2.",4.9,restricted
DOC-0003,safety_procedure,Safety Procedure — Safety and Environment v2.5,Safety and Environment,2022-07-31,2023-07-31,"Safety Procedure SP-2.5 — Isolation and Earthing of High-Voltage Equipment — Safety and Environment

1. OBJECTIVE
To prevent injury or death from unintended energisation of high-voltage equipment during maintenance or construction activities.

2. APPLICABILITY
All authorised HV switching operators and maintenance personnel working on assets rated 1kV to 275kV.

3. PROCEDURE
Step 1: Obtain isolation authority from the Network Operations Controller.
Step 2: Identify and confirm correct isolation points using approved single-line diagrams.
Step 3: Operate isolation devices in the correct sequence — open circuit breaker, open isolator, apply locks and danger tags.
Step 4: Apply high-voltage earths to all potentially energised conductors on both source and load sides of work zone.
Step 5: Test for absence of voltage using approved HV test equipment before commencing work.

4. RESTORATION
Restoration must follow reverse sequence. All earths must be removed and accounted for. Confirmation must be given to NOC before any switching.

5. REFERENCES
AS/NZS 3000, Electricity Safety Act 1998, Network Safety Rules v4.2.",2.5,internal
DOC-0004,safety_procedure,Safety Procedure — Network Operations v3.8,Network Operations,2018-10-07,2019-10-07,"Safety Procedure SP-3.8 — Isolation and Earthing of High-Voltage Equipment — Network Operations

1. OBJECTIVE
To prevent injury or death from unintended energisation of high-voltage equipment during maintenance or construction activities.

2. APPLICABILITY
All authorised HV switching operators and maintenance personnel working on assets rated 1kV to 275kV.

3. PROCEDURE
Step 1: Obtain isolation authority from the Network Operations Controller.
Step 2: Identify and confirm correct isolation points using approved single-line diagrams.
Step 3: Operate isolation devices in the correct sequence — open circuit breaker, open isolator, apply locks and danger tags.
Step 4: Apply high-voltage earths to all potentially energised conductors on both source and load sides of work zone.
Step 5: Test for absence of voltage using approved HV test equipment before commencing work.

4. RESTORATION
Restoration must follow reverse sequence. All earths must be removed and accounted for. Confirmation must be given to NOC before any switching.

5. REFERENCES
AS/NZS 3000, Electricity Safety Act 1998, Network Safety Rules v4.2.",3.8,internal
DOC-0005,data_governance,Data Governance — Information Technology v2.8,Information Technology,2020-05-18,2022-05-18,"Data Governance Policy v2.8 — Information Technology

1. PURPOSE
Establish accountabilities, standards, and controls for the management of data assets across the organisation, ensuring data quality, security, lineage, and regulatory compliance.

2. DATA CLASSIFICATION
All data assets must be classified as: Public, Internal, Restricted, or Confidential. Customer metering data, personal information, and grid operational data are classified Restricted by default.

3. DATA STEWARDSHIP
Each business unit must appoint a Data Steward responsible for cataloguing, quality monitoring, and access management of their data products. Data Stewards report quarterly to the Data Governance Committee.

4. RETENTION AND DISPOSAL
Meter data: retain for 7 years per NEM Rules. Customer personal data: retain for 7 years post-contract end. Operational logs: retain for 3 years. Disposal must be documented and approved.

5. PRIVACY
All data handling involving personal information must comply with the Privacy Act 1988 (Cth), Australian Privacy Principles, and state privacy legislation. Privacy Impact Assessments are mandatory for new data sharing arrangements and analytics use cases involving personal data.",2.8,internal
DOC-0006,data_governance,Data Governance — Regulatory Affairs v4.1,Regulatory Affairs,2018-08-04,2019-08-04,"Data Governance Policy v4.1 — Regulatory Affairs

1. PURPOSE
Establish accountabilities, standards, and controls for the management of data assets across the organisation, ensuring data quality, security, lineage, and regulatory compliance.

2. DATA CLASSIFICATION
All data assets must be classified as: Public, Internal, Restricted, or Confidential. Customer metering data, personal information, and grid operational data are classified Restricted by default.

3. DATA STEWARDSHIP
Each business unit must appoint a Data Steward responsible for cataloguing, quality monitoring, and access management of their data products. Data Stewards report quarterly to the Data Governance Committee.

4. RETENTION AND DISPOSAL
Meter data: retain for 7 years per NEM Rules. Customer personal data: retain for 7 years post-contract end. Operational logs: retain for 3 years. Disposal must be documented and approved.

5. PRIVACY
All data handling involving personal information must comply with the Privacy Act 1988 (Cth), Australian Privacy Principles, and state privacy legislation. Privacy Impact Assessments are mandatory for new data sharing arrangements and analytics use cases involving personal data.",4.1,public
DOC-0007,ai_usage_policy,Ai Usage Policy — Asset Management v2.1,Asset Management,2022-06-27,2023-06-27,"Artificial Intelligence Usage Policy v2.1 — Asset Management

1. PURPOSE
Govern the responsible use of artificial intelligence (AI) and machine learning (ML) systems across the organisation to ensure safety, fairness, transparency, and compliance with regulatory obligations.

2. PROHIBITED USES
AI must not be used to: make fully automated decisions that affect customer financial outcomes without human review; process sensitive personal information without a completed Privacy Impact Assessment; operate or directly control protection systems without certification under IEC 61511 functional safety standards.

3. AI RISK TIERS
Tier 1 (High Risk): AI systems that inform regulatory submissions, affect safety-critical operations, or process >10,000 customer records. Require Board approval, independent validation, and ongoing monitoring.
Tier 2 (Medium Risk): AI systems used for internal operational decisions. Require GM approval and documented testing.
Tier 3 (Low Risk): AI productivity tools, summarisation, and document assistance. Require IT risk assessment only.

4. DATA RESIDENCY
All AI model training, inference, and data processing involving customer or grid data must occur within Australian jurisdiction. Use of offshore AI services requires CISO approval and a Data Processing Agreement meeting Australian Privacy Principle 8 requirements.

5. HUMAN OVERSIGHT
All AI-generated outputs that inform consequential decisions must be reviewed by a qualified human before action. AI systems must log all inputs and outputs for audit purposes for a minimum of 3 years.

6. REVIEW
This policy is reviewed annually or following any material AI incident or regulatory change.",2.1,restricted
DOC-0008,emergency_response,Emergency Response — Safety and Environment v1.5,Safety and Environment,2020-01-24,2021-01-23,"Emergency Response Plan — Major Network Incident — Safety and Environment v1.5

1. ACTIVATION CRITERIA
This plan is activated for any event affecting more than 10,000 customers, any 132kV or above circuit fault, or any event declared a Public Safety Power Shutoff (PSPS).

2. INCIDENT COMMAND
The Network Operations Manager assumes the role of Incident Commander on activation. An Emergency Response Team (ERT) is stood up within 30 minutes, comprising representatives from Operations, Engineering, Media, and Customer Service.

3. NOTIFICATION
Within 15 minutes of activation: notify General Manager Networks, AER (if affecting reliability targets), AEMO (if affecting wholesale market), state energy regulator, and emergency services if life safety risk exists.

4. CUSTOMER COMMUNICATIONS
Estimated restoration times must be published via SMS, web, and IVR within 30 minutes. Updates every 60 minutes until restoration.

5. POST-INCIDENT
A post-incident review must be completed within 5 business days. Findings and corrective actions registered in the asset management system.",1.5,restricted
DOC-0009,safety_procedure,Safety Procedure — Asset Management v4.3,Asset Management,2024-06-21,2025-06-21,"Safety Procedure SP-4.3 — Isolation and Earthing of High-Voltage Equipment — Asset Management

1. OBJECTIVE
To prevent injury or death from unintended energisation of high-voltage equipment during maintenance or construction activities.

2. APPLICABILITY
All authorised HV switching operators and maintenance personnel working on assets rated 1kV to 275kV.

3. PROCEDURE
Step 1: Obtain isolation authority from the Network Operations Controller.
Step 2: Identify and confirm correct isolation points using approved single-line diagrams.
Step 3: Operate isolation devices in the correct sequence — open circuit breaker, open isolator, apply locks and danger tags.
Step 4: Apply high-voltage earths to all potentially energised conductors on both source and load sides of work zone.
Step 5: Test for absence of voltage using approved HV test equipment before commencing work.

4. RESTORATION
Restoration must follow reverse sequence. All earths must be removed and accounted for. Confirmation must be given to NOC before any switching.

5. REFERENCES
AS/NZS 3000, Electricity Safety Act 1998, Network Safety Rules v4.2.",4.3,internal
DOC-0010,ai_usage_policy,Ai Usage Policy — Regulatory Affairs v3.2,Regulatory Affairs,2020-02-27,2023-02-26,"Artificial Intelligence Usage Policy v3.2 — Regulatory Affairs

1. PURPOSE
Govern the responsible use of artificial intelligence (AI) and machine learning (ML) systems across the organisation to ensure safety, fairness, transparency, and compliance with regulatory obligations.

2. PROHIBITED USES
AI must not be used to: make fully automated decisions that affect customer financial outcomes without human review; process sensitive personal information without a completed Privacy Impact Assessment; operate or directly control protection systems without certification under IEC 61511 functional safety standards.

3. AI RISK TIERS
Tier 1 (High Risk): AI systems that inform regulatory submissions, affect safety-critical operations, or process >10,000 customer records. Require Board approval, independent validation, and ongoing monitoring.
Tier 2 (Medium Risk): AI systems used for internal operational decisions. Require GM approval and documented testing.
Tier 3 (Low Risk): AI productivity tools, summarisation, and document assistance. Require IT risk assessment only.

4. DATA RESIDENCY
All AI model training, inference, and data processing involving customer or grid data must occur within Australian jurisdiction. Use of offshore AI services requires CISO approval and a Data Processing Agreement meeting Australian Privacy Principle 8 requirements.

5. HUMAN OVERSIGHT
All AI-generated outputs that inform consequential decisions must be reviewed by a qualified human before action. AI systems must log all inputs and outputs for audit purposes for a minimum of 3 years.

6. REVIEW
This policy is reviewed annually or following any material AI incident or regulatory change.",3.2,internal
