report_id,report_type,reporting_period,region,jurisdiction,submission_date,submitted_by,status,report_content,compliance_status
RPT-C9758912,SAIFI_annual,FY2526,WA,WA,2025-07-25,S.Mehta@regulation.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2526. System Average Interruption Frequency Index: 1.3696 interruptions per customer. Regulatory target: 134.5000 interruptions per customer. Status: within. Total customer-interruptions recorded: 117,644. Frequency performance improvement of 13.6% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-E9FFCCCF,SAIFI_annual,FY2223,QLD,QLD,2024-02-28,P.Kavanagh@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 1.5544 interruptions per customer. Regulatory target: 133.8000 interruptions per customer. Status: within. Total customer-interruptions recorded: 42,924. Frequency performance improvement of -2.9% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",non_compliant
RPT-374A943F,AEMO_market,Q1-2023,QLD,AEMO,2025-09-27,P.Kavanagh@network.com.au,accepted,"AEMO Market Operations Report — Q1-2023. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 4400.5 GWh. Demand response activations: 13 events, total volume 258.0 MWh. Frequency performance: 99.4% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 8. Causer pays liability for period: $16,811. Market systems availability: 99.66%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-254791C0,SAIFI_annual,FY2324,WA,WA,2025-05-01,A.Vasquez@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2324. System Average Interruption Frequency Index: 1.7603 interruptions per customer. Regulatory target: 99.6000 interruptions per customer. Status: within. Total customer-interruptions recorded: 146,084. Frequency performance improvement of 1.5% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",pending_review
RPT-B462B53A,SAIDI_monthly,2022-09,SA,SA,2025-08-27,F.Nakamura@corp.com.au,accepted,"Monthly SAIDI Performance Report — 2022-09. Total System Average Interruption Duration Index for the reporting period: 104.17 minutes. Target threshold per Distribution Licence Condition 7.3: 85.5 minutes. Performance is exceeding target. Major contributing event categories: equipment failure (41%), weather-related (33%), vegetation (26%). Three significant outage events contributed 55% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-A5E5B855,SAIFI_annual,FY2223,VIC,VIC,2023-04-12,D.O'Brien@regulation.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 0.4117 interruptions per customer. Regulatory target: 133.0000 interruptions per customer. Status: within. Total customer-interruptions recorded: 109,161. Frequency performance improvement of 6.8% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-417F654C,ESC_compliance,Q4-2025,VIC,VIC,2025-10-04,L.Anderson@corp.com.au,accepted,"Energy and Water Ombudsman / ESC Compliance Report — Q4-2025. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 2480. Complaints resolved within 10 business days: 91%. Unplanned interruptions — guaranteed service levels met: 93%. GSL payments made: 172 totalling $19,289. Wrongful disconnection events: 4. Hardship programme enrolments: 3,637. Planned interruption notice compliance: 93% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-A364AF0C,SAIFI_annual,FY2223,WA,WA,2024-11-28,J.Thornton@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 0.7182 interruptions per customer. Regulatory target: 104.7000 interruptions per customer. Status: within. Total customer-interruptions recorded: 35,829. Frequency performance improvement of 3.8% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-8CBEDB15,SAIDI_monthly,2025-08,SA,SA,2025-09-09,R.Krishnamurthy@network.com.au,draft,"Monthly SAIDI Performance Report — 2025-08. Total System Average Interruption Duration Index for the reporting period: 69.71 minutes. Target threshold per Distribution Licence Condition 7.3: 124.0 minutes. Performance is within target. Major contributing event categories: equipment failure (42%), weather-related (31%), vegetation (27%). Three significant outage events contributed 56% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-9FC03E72,AER_performance,FY2324,WA,WA,2023-08-13,P.Kavanagh@network.com.au,accepted,"AER Annual Performance Report — FY2324. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $216.9M (approved allowance: $226.8M). Operating expenditure: $145.5M (approved allowance: $141.3M). Network reliability: SAIDI 101.29 min (target 123.4 min), SAIFI 0.6683 (target 1.2148). Customer complaints: 1263 (prior year: 2650). Demand-side participation programme enrolled 4,375 customers, reducing peak demand by 24.8 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
