settlement_date,region_id,duid,dispatch_mw,initial_mw,available_mw,ramp_rate,fuel_type,station_name,state
2025-06-09 05:50:00,VIC1,VBBL1,9.2,8.9,300.0,410.8,battery,Victorian Big Battery,VIC
2025-10-11 20:40:00,QLD1,KAREEYA1,2.1,2.3,23.5,11.6,gas,Kareeya,QLD
2025-09-20 03:10:00,SA1,DALRNG1,1.4,1.3,30.0,373.5,battery,Dalrymple Battery,SA
2025-08-11 21:00:00,VIC1,MORTLK1,14.0,13.8,248.3,29.4,gas,Mortlake,VIC
2025-08-10 19:25:00,NSW1,MURRAY1,695.9,696.1,782.3,76.8,hydro,Murray 1,NSW
2025-10-27 06:25:00,QLD1,TARONG4,327.1,322.4,327.2,7.9,coal,Tarong,QLD
2025-06-08 15:25:00,SA1,AGLHAL,4.7,4.6,154.0,12.1,gas,Hallett,SA
2025-09-27 22:05:00,NSW1,TALLWN2,15.1,13.7,109.1,24.8,gas,Tallawarra B,NSW
2025-06-29 16:00:00,SA1,HDWF1,118.7,116.7,124.1,73.9,wind,Hornsdale Wind Farm,SA
2025-06-10 03:20:00,VIC1,LOYB2,443.0,443.9,451.0,5.3,coal,Loy Yang B,VIC
2025-08-27 19:40:00,QLD1,BRAEMAR1,342.6,349.8,404.3,18.3,gas,Braemar,QLD
2025-11-17 13:35:00,NSW1,MURRAY1,171.5,173.8,427.1,67.5,hydro,Murray 1,NSW
2025-10-04 21:45:00,VIC1,LOYA1,436.6,446.1,452.2,6.6,coal,Loy Yang A,VIC
2025-10-09 12:40:00,NSW1,TUMUT1,30.5,29.9,46.8,31.7,hydro,Tumut 1,NSW
2025-10-01 14:00:00,NSW1,MURRAY2,150.5,151.6,222.7,59.0,hydro,Murray 2,NSW
2025-10-14 01:35:00,NSW1,BAYSW3,3.6,3.6,31.8,4.8,coal,Bayswater,NSW
2025-08-25 09:45:00,QLD1,RUGBYR1,30.5,31.0,33.6,110.9,solar,Rugby Run Solar Farm,QLD
2025-06-16 07:35:00,SA1,PELICAN1,9.1,9.5,73.5,23.3,gas,Pelican Point,SA
2025-10-23 20:05:00,NSW1,CAPTL_WF,88.8,86.7,90.3,79.2,wind,Capital Wind Farm,NSW
2025-08-13 23:15:00,QLD1,TARONG2,343.5,351.4,361.1,4.0,coal,Tarong,QLD
2025-08-23 01:30:00,VIC1,LOYB2,405.6,406.8,443.0,6.3,coal,Loy Yang B,VIC
2025-07-30 11:40:00,QLD1,TARONG1,316.8,312.8,337.4,6.7,coal,Tarong,QLD
2025-06-26 05:20:00,VIC1,LOYA1,444.3,449.0,460.4,3.5,coal,Loy Yang A,VIC
2025-11-08 16:10:00,VIC1,JBUTNS1,2.7,2.9,201.0,14.6,gas,Jeeralang,VIC
2025-10-13 05:55:00,TAS1,GORDONS1,37.3,38.0,339.0,45.3,hydro,Gordon,TAS
2025-09-18 04:25:00,SA1,LKBONNY4,0.0,0.0,0.0,103.9,solar,Lake Bonney Solar,SA
2025-08-05 05:45:00,VIC1,LOYA3,491.2,480.8,525.1,4.9,coal,Loy Yang A,VIC
2025-10-20 17:50:00,SA1,HDWF2,52.0,50.6,56.9,93.2,wind,Hornsdale Wind Farm,SA
2025-08-31 06:25:00,NSW1,ERGT02,636.4,653.3,691.0,3.6,coal,Eraring,NSW
2025-08-12 16:50:00,NSW1,ERGT01,590.6,599.2,630.0,4.2,coal,Eraring,NSW
2025-08-13 23:35:00,VIC1,WEMBLEY1,43.5,43.1,47.0,89.1,wind,Waubra Wind Farm,VIC
2025-07-04 08:35:00,QLD1,TARONG2,348.0,348.9,372.6,7.3,coal,Tarong,QLD
2025-06-09 18:25:00,VIC1,GARDNR1,5.7,5.8,5.8,164.9,solar,Gannawarra Solar Farm,VIC
2025-09-01 22:25:00,VIC1,LOYA1,494.7,482.3,523.4,5.5,coal,Loy Yang A,VIC
