notice_id,notice_type,issue_time,reason,effective_date,region_id,intervention
1,LOR1,2025-07-28 07:53:23,"LACK OF RESERVE LEVEL 1 NOTICE — QLD1: Projected reserve margin is 287 MW, below the LOR1 threshold of 565 MW for the trading interval commencing 07:53 AEST. Participants are requested to make available any additional capacity. AEMO is monitoring the situation and will issue further notices as co...",2025-07-28 08:29:23,QLD1,False
2,RESERVE NOTICE,2025-07-08 20:21:15,"SUMMER DEMAND RESERVE NOTICE — NSW1: Elevated demand forecast for the period 09 July 2025. Peak demand forecast 12627 MW, representing 17% above seasonal average. Participants are reminded that additional capacity must be registered and available for dispatch. AEMO will publish updated forecasts ...",2025-07-08 22:03:15,NSW1,False
3,MARKET NOTICE,2025-10-10 02:36:42,CONSTRAINT ACTIVATION NOTICE: Constraint set V^MLTS1-HYTS_E has been activated from 02:36 AEST. The constraint applies to QLD1. RHS value: 555 MW. Reason: network overload protection — South Australia radial supply risk. Affected generators have been notified via EMMS. The constraint will remain ...,2025-10-10 03:54:42,,False
4,MARKET NOTICE,2025-01-27 11:07:40,"ADMINISTERED PRICE CAP NOTICE — VIC1: The cumulative price threshold has been breached in VIC1. The Administered Price Cap of $300/MWh will apply from trading interval 11:07 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids ...",2025-01-27 11:32:40,,False
5,MARKET NOTICE,2025-06-03 21:10:21,"MARKET PRICE CAP DECLARATION — SA1: The Regional Reference Price for SA1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 21:10 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8.22...",2025-06-03 21:33:21,,False
6,LOR1,2025-07-11 14:56:06,LOR1 DECLARED — SA1: Reserve shortfall forecast for 14:56 AEST. Available generation 3883 MW against requirement 4234 MW. Net shortfall 289 MW. Demand response providers and semi-scheduled generators requested to maximise output. Direction may be issued if reserve levels deteriorate further.,2025-07-11 16:17:06,SA1,False
7,SYSTEM NORMAL,2025-06-07 03:56:10,SYSTEM NORMAL — QLD1: Reserve conditions have returned to normal levels in QLD1. The LOR1 notice issued at 02:56 AEST on 07 June 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-06-07 05:48:10,,False
8,MARKET NOTICE,2024-12-25 06:20:52,CONSTRAINT ACTIVATION NOTICE: Constraint set Q_PQ_NIL_RADL_1 has been activated from 06:20 AEST. The constraint applies to NSW1. RHS value: 913 MW. Reason: bushfire-related pre-emptive constraint — high fire danger in transmission corridor. Affected generators have been notified via EMMS. The con...,2024-12-25 08:02:52,,False
9,LOR2,2025-05-16 08:09:21,"LACK OF RESERVE LEVEL 2 NOTICE — VIC1: Directed reserve shortfall. Available capacity 1284 MW, requirement 1415 MW. AEMO is directing semi-scheduled generators and will consider emergency directions under clause 4.8.9 of the NER if the situation does not improve within the next two dispatch inter...",2025-05-16 08:22:21,VIC1,True
10,SYSTEM NORMAL,2025-11-20 07:37:28,SYSTEM NORMAL — TAS1: Reserve conditions have returned to normal levels in TAS1. The LOR1 notice issued at 04:37 AEST on 20 November 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-11-20 08:42:28,,False
11,MARKET NOTICE,2025-02-03 20:52:31,CONSTRAINT ACTIVATION NOTICE: Constraint set S_RADIAL_SA_1 has been activated from 20:52 AEST. The constraint applies to VIC1. RHS value: 293 MW. Reason: network overload protection — South Australia radial supply risk. Affected generators have been notified via EMMS. The constraint will remain a...,2025-02-03 21:51:31,,False
12,LOR2,2025-05-27 22:35:08,LACK OF RESERVE LEVEL 2 — SA1: AEMO declares LOR2 for 22:35 AEST. Forecast reserve 395 MW below threshold. All available FCAS providers must register to bid. AEMO is in contact with large industrial loads regarding voluntary demand response. Interconnector flows being optimised.,2025-05-28 00:35:08,SA1,True
13,MARKET NOTICE,2025-09-03 17:34:03,INTERCONNECTOR LIMIT REDUCTION — T-V-MNSP1: The transfer capability of T-V-MNSP1 has been reduced to 1592 MW in the northward direction from 17:34 AEST until further notice due to vegetation growth reducing conductor-to-ground clearance below statutory limit. Constraint set S_RADIAL_SA_1 has been...,2025-09-03 17:46:03,,False
14,MARKET NOTICE,2024-12-07 10:25:08,"MARKET PRICE CAP DECLARATION — SA1: The Regional Reference Price for SA1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 10:25 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8.22...",2024-12-07 11:54:08,,False
15,LOR2,2025-03-04 23:50:49,LACK OF RESERVE LEVEL 2 — QLD1: AEMO declares LOR2 for 23:50 AEST. Forecast reserve 105 MW below threshold. All available FCAS providers must register to bid. AEMO is in contact with large industrial loads regarding voluntary demand response. Interconnector flows being optimised.,2025-03-05 01:47:49,QLD1,True
16,MARKET NOTICE,2025-09-06 07:49:30,CONSTRAINT ACTIVATION NOTICE: Constraint set N^^Q_NIL_1 has been activated from 07:49 AEST. The constraint applies to QLD1. RHS value: 331 MW. Reason: frequency control ancillary service shortfall in lower 60-second service. Affected generators have been notified via EMMS. The constraint will rem...,2025-09-06 08:30:30,,False
17,MARKET NOTICE,2025-05-07 02:19:51,CONSTRAINT ACTIVATION NOTICE: Constraint set V^MLTS1-HYTS_E has been activated from 02:19 AEST. The constraint applies to NSW1. RHS value: 410 MW. Reason: Basslink power flow control — thermal limit in wet end equipment. Affected generators have been notified via EMMS. The constraint will remain ...,2025-05-07 02:33:51,,False
18,MARKET NOTICE,2025-07-21 00:59:04,CONSTRAINT ACTIVATION NOTICE: Constraint set N_X_HYTS_GUN_1 has been activated from 00:59 AEST. The constraint applies to VIC1. RHS value: 901 MW. Reason: thermal overload risk on Moorabool-Hazelwood 220kV line. Affected generators have been notified via EMMS. The constraint will remain active un...,2025-07-21 02:54:04,,False
19,SYSTEM NORMAL,2025-10-05 03:08:19,SYSTEM NORMAL — QLD1: Reserve conditions have returned to normal levels in QLD1. The LOR2 notice issued at 00:08 AEST on 05 October 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-10-05 03:52:19,,False
20,LOR1,2024-12-06 20:34:58,LOR1 DECLARED — SA1: Reserve shortfall forecast for 20:34 AEST. Available generation 1760 MW against requirement 1851 MW. Net shortfall 66 MW. Demand response providers and semi-scheduled generators requested to maximise output. Direction may be issued if reserve levels deteriorate further.,2024-12-06 21:23:58,SA1,False
21,SYSTEM NORMAL,2025-08-06 23:08:38,SYSTEM NORMAL — TAS1: Reserve conditions have returned to normal levels in TAS1. The LOR2 notice issued at 19:08 AEST on 06 August 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-08-06 23:53:38,,False
22,LOR2,2025-03-13 10:13:46,"LACK OF RESERVE LEVEL 2 NOTICE — TAS1: Directed reserve shortfall. Available capacity 4175 MW, requirement 4461 MW. AEMO is directing semi-scheduled generators and will consider emergency directions under clause 4.8.9 of the NER if the situation does not improve within the next two dispatch inter...",2025-03-13 11:35:46,TAS1,True
23,LOR1,2025-01-18 05:26:18,"LACK OF RESERVE LEVEL 1 NOTICE — VIC1: Projected reserve margin is 118 MW, below the LOR1 threshold of 357 MW for the trading interval commencing 05:26 AEST. Participants are requested to make available any additional capacity. AEMO is monitoring the situation and will issue further notices as co...",2025-01-18 06:31:18,VIC1,False
