constraint_id,constraint_type,activated_datetime,deactivated_datetime,reason,rhs_value,region_affected,interconnector
S_RADIAL_SA_1,voltage,2025-10-25 10:54:04,2025-10-25 12:47:43,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1386.4,VIC1,False
S^NIL_PEAK_1530_3,thermal,2025-06-19 04:37:28,2025-06-19 15:38:10,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,942.9,SA1,False
Q_PQ_NIL_RADL_1,thermal,2025-06-16 17:30:51,2025-06-17 02:40:01,Overload protection — Moorabool substation transformer loading above summer rating.,765.0,QLD1,False
NSW_VIC_LOCAT_1,thermal,2025-09-08 13:57:09,2025-09-08 17:52:04,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1520.1,SA1,False
F_MAIN+ML_MR_0600,voltage,2025-10-30 19:14:56,2025-10-30 20:27:46,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,870.3,VIC1,False
V^GUNNQ_MUGG_E,voltage,2025-06-03 02:12:04,2025-06-03 06:31:08,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,132.1,TAS1,False
V_XEMPT_MAIN+ML,voltage,2025-04-26 21:40:59,2025-04-27 07:24:16,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,1279.0,NSW1,False
V_XEMPT_MAIN+ML,voltage,2024-12-12 00:48:46,2024-12-12 02:01:27,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1275.4,QLD1,False
N_X_HYTS_GUN_1,voltage,2025-09-14 09:52:00,2025-09-15 08:44:45,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,319.4,SA1,False
N_X_HYTS_GUN_1,voltage,2025-04-24 06:06:31,2025-04-24 06:33:39,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,269.4,NSW1,False
S_RADIAL_SA_1,stability,2025-03-15 03:39:35,2025-03-15 05:55:20,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1292.0,VIC1,False
Q_PQ_NIL_RADL_1,thermal,2025-09-01 21:37:05,2025-09-01 23:04:07,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,965.1,QLD1,False
N_X_HYTS_GUN_1,thermal,2025-08-19 02:59:30,2025-08-19 05:41:08,Basslink thermal constraint — sustained high power flow activating wet-end protection.,917.0,TAS1,True
V^HYTS_MLTS_N,thermal,2025-04-07 06:20:18,2025-04-08 19:15:29,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1786.9,NSW1,True
F_I+LREG+ML_RREG_0600,stability,2025-09-30 09:15:15,2025-09-30 22:12:22,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,73.7,TAS1,False
NSW_VIC_LOCAT_1,thermal,2025-08-01 15:38:20,2025-08-01 16:04:14,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,1315.8,SA1,False
V_XEMPT_MAIN+ML,stability,2025-08-14 08:36:24,2025-08-15 00:32:54,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,813.5,QLD1,False
V_XEMPT_MAIN+ML,stability,2025-09-16 17:16:41,2025-09-16 18:25:54,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,646.0,NSW1,False
V^HYTS_MLTS_N,thermal,2025-05-18 23:45:51,2025-05-19 12:53:18,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,977.9,QLD1,True
N^^Q_NIL_1,thermal,2025-08-23 00:23:19,2025-08-23 04:03:22,Overload protection — Moorabool substation transformer loading above summer rating.,1623.7,TAS1,True
NSW_VIC_LOCAT_1,thermal,2025-05-12 00:04:00,2025-05-12 06:32:56,Basslink thermal constraint — sustained high power flow activating wet-end protection.,249.7,QLD1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-09-14 09:51:02,2025-09-14 13:48:03,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,765.3,SA1,False
V^HYTS_MLTS_N,stability,2024-11-30 11:41:29,2024-11-30 22:02:46,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,183.3,VIC1,False
V^MLTS1-HYTS_E,thermal,2025-07-07 07:54:08,2025-07-07 08:46:59,Radial supply security constraint — South Australia import capacity limit reached.,368.0,TAS1,False
V^HYTS_MLTS_N,voltage,2025-10-15 23:00:37,2025-10-16 11:19:10,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,1430.7,SA1,False
F_I+LREG+ML_RREG_0600,voltage,2025-05-28 23:10:25,2025-05-29 00:09:41,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,1122.6,QLD1,False
N^^Q_NIL_1,stability,2025-09-09 07:50:47,2025-09-09 13:35:30,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,329.2,VIC1,False
V^GUNNQ_MUGG_E,stability,2025-08-02 01:12:25,2025-08-02 14:52:03,Overload protection — Moorabool substation transformer loading above summer rating.,1495.5,NSW1,False
Q_PQ_NIL_RADL_1,voltage,2025-05-29 04:09:46,2025-05-29 07:02:39,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1645.9,VIC1,False
S^NIL_PEAK_1530_3,thermal,2025-08-06 13:24:05,2025-08-06 13:58:29,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,833.4,NSW1,False
NSW_VIC_LOCAT_1,stability,2025-04-08 08:57:43,2025-04-09 07:25:43,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,1158.0,SA1,False
V^MLTS1-HYTS_E,stability,2025-01-23 17:07:03,2025-01-23 21:07:20,Frequency control constraint — insufficient inertia from synchronous generation online.,745.2,TAS1,False
S^NIL_PEAK_1530_3,stability,2025-01-01 12:03:41,2025-01-01 15:28:27,Overload protection — Moorabool substation transformer loading above summer rating.,825.5,TAS1,False
N^^Q_NIL_1,stability,2025-03-09 03:10:31,2025-03-09 04:14:23,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1520.7,QLD1,False
N_X_HYTS_GUN_1,stability,2025-01-17 04:49:18,2025-01-17 07:19:17,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1079.7,NSW1,False
V^GUNNQ_MUGG_E,voltage,2025-01-31 13:57:03,2025-02-02 02:40:44,Radial supply security constraint — South Australia import capacity limit reached.,261.9,VIC1,False
V^GUNNQ_MUGG_E,stability,2025-02-06 23:07:23,2025-02-06 23:49:53,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1764.1,TAS1,False
N_X_HYTS_GUN_1,voltage,2025-05-05 05:32:47,2025-05-05 06:49:13,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,310.0,SA1,False
N^^Q_NIL_1,voltage,2025-09-13 01:50:46,2025-09-13 17:18:23,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,292.3,TAS1,False
S_RADIAL_SA_1,voltage,2025-08-03 23:02:50,2025-08-04 01:29:22,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,449.0,TAS1,False
N^^Q_NIL_1,voltage,2025-02-22 12:55:54,2025-02-22 14:00:52,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1322.9,NSW1,False
NSW_VIC_LOCAT_1,voltage,2025-05-26 00:45:03,2025-05-26 17:53:10,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,183.6,QLD1,False
NSW_VIC_LOCAT_1,thermal,2025-04-27 10:04:57,2025-04-27 10:57:24,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,939.7,SA1,True
F_MAIN+ML_MR_0600,thermal,2025-05-21 05:56:52,2025-05-21 18:21:26,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,428.5,SA1,True
S_RADIAL_SA_1,voltage,2025-10-01 00:09:31,2025-10-01 01:42:15,Radial supply security constraint — South Australia import capacity limit reached.,1415.9,SA1,False
Q_PQ_NIL_RADL_1,voltage,2025-04-26 11:44:30,2025-04-26 12:26:04,Frequency control constraint — insufficient inertia from synchronous generation online.,1486.8,QLD1,False
V_XEMPT_MAIN+ML,stability,2025-07-19 20:18:31,2025-07-19 22:05:53,Radial supply security constraint — South Australia import capacity limit reached.,300.8,NSW1,False
V^HYTS_MLTS_N,thermal,2025-07-02 02:11:14,2025-07-02 20:38:21,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1621.6,VIC1,False
F_MAIN+ML_MR_0600,thermal,2025-01-31 05:25:38,2025-01-31 11:43:27,Frequency control constraint — insufficient inertia from synchronous generation online.,1255.9,NSW1,True
N_X_HYTS_GUN_1,stability,2025-03-16 09:47:49,2025-03-17 06:34:58,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,874.6,SA1,False
NSW_VIC_LOCAT_1,stability,2025-05-19 03:10:36,2025-05-20 17:53:06,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,1640.9,VIC1,False
V_XEMPT_MAIN+ML,voltage,2025-03-29 17:55:57,2025-03-29 20:26:09,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,441.3,QLD1,False
V^GUNNQ_MUGG_E,stability,2025-01-03 04:16:09,2025-01-03 09:40:44,Frequency control constraint — insufficient inertia from synchronous generation online.,1118.2,QLD1,False
V^MLTS1-HYTS_E,voltage,2025-07-03 04:04:42,2025-07-03 06:41:09,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1566.4,TAS1,False
V^MLTS1-HYTS_E,voltage,2025-05-08 06:11:39,2025-05-08 09:05:57,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,1138.4,VIC1,False
V_XEMPT_MAIN+ML,voltage,2025-10-10 04:45:35,2025-10-10 16:33:01,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1134.8,TAS1,False
Q^^Q_NIL_PEAK_1530,stability,2025-09-21 04:36:24,2025-09-21 14:23:12,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,772.4,VIC1,False
