settlement_date,participant_id,run_type,energy_amount_aud,fcas_amount_aud,interconnector_residue_aud,total_aud,settlement_status
2023-11-16,WIND_LAB_NS,FINAL,273447.33,67601.0,-4066.79,336981.54,FINAL
2025-02-20,NEOEN,FINAL,1200901.84,-6211.65,-21442.0,1173248.19,FINAL
2024-01-25,ENERGY_AUSTRALIA,FINAL,-486229.51,12780.74,1321.13,-472127.64,FINAL
2025-10-16,AGL_ENERGY,FINAL,939138.35,-27437.54,-5369.6,906331.21,DISPUTED
2024-11-14,WIND_LAB_NS,REVISED,164040.9,6978.99,3538.98,174558.87,PENDING
2025-08-28,ORIGIN,FINAL,3930739.73,19882.38,-17884.24,3932737.87,FINAL
2025-09-25,ERM_POWER,REVISED,405564.42,44241.6,2894.86,452700.88,FINAL
2025-03-06,AGL_ENERGY,FINAL,111306.52,-20227.37,8177.77,99256.92,FINAL
2024-07-04,ACCIONA,REVISED,1367012.67,-2705.54,-6191.34,1358115.79,FINAL
2024-06-27,STANWELL,FINAL,-917700.15,138048.84,17623.0,-762028.31,FINAL
2025-07-10,NEOEN,REVISED,133403.7,52664.61,-6548.92,179519.39,FINAL
2024-09-12,HYDRO_TASMANIA,PRELIMINARY,430634.96,14352.25,4633.25,449620.46,PENDING
2024-02-22,ENERGY_AUSTRALIA,FINAL,3820180.37,7505.5,12885.73,3840571.6,FINAL
2025-03-06,ENGIE,FINAL,-548431.2,45131.63,12756.25,-490543.32,FINAL
2025-05-22,HYDRO_TASMANIA,FINAL,439463.93,39248.83,18424.9,497137.66,FINAL
2024-10-31,WIND_LAB_NS,REVISED,130914.49,-73511.8,5065.6,62468.29,FINAL
2023-12-07,SNOWY_HYDRO,FINAL,3173207.35,2535.88,-536.92,3175206.31,FINAL
2025-11-13,ORIGIN,FINAL,279849.39,10326.26,-28938.81,261236.84,FINAL
2024-01-04,WIND_LAB_NS,FINAL,370547.87,15204.9,-17073.73,368679.04,DISPUTED
2023-12-21,CS_ENERGY,REVISED,166051.87,43243.68,-2454.57,206840.98,FINAL
2025-10-23,SNOWY_HYDRO,REVISED,1705467.99,-171253.12,83.02,1534297.89,FINAL
2024-06-06,STANWELL,FINAL,-480523.06,4047.89,-30534.32,-507009.49,FINAL
2025-07-31,WIND_LAB_NS,FINAL,359108.61,9489.97,9309.19,377907.77,FINAL
2024-10-31,ERM_POWER,FINAL,1604106.52,15482.03,4869.44,1624457.99,FINAL
2024-09-19,ENERGY_AUSTRALIA,REVISED,168864.01,27144.0,-25702.59,170305.42,FINAL
2024-11-28,AGL_ENERGY,FINAL,728300.87,53803.79,-33210.93,748893.73,FINAL
2025-01-09,ENGIE,FINAL,149029.98,33378.87,4531.65,186940.5,PENDING
2025-07-17,DELTA_ELECTRICITY,FINAL,-682628.0,6260.09,20953.97,-655413.94,FINAL
2025-05-01,ORIGIN,PRELIMINARY,724189.8,23120.2,11533.13,758843.13,PENDING
2025-03-06,HYDRO_TASMANIA,REVISED,1039011.37,35782.42,-2053.04,1072740.75,DISPUTED
2025-02-27,ACCIONA,FINAL,-337838.93,3101.71,12196.16,-322541.06,FINAL
2024-08-22,ERM_POWER,FINAL,3450678.85,4990.96,5363.46,3461033.27,FINAL
2024-12-19,DELTA_ELECTRICITY,PRELIMINARY,411721.53,8408.92,-8648.36,411482.09,PENDING
2025-11-06,ORIGIN,FINAL,-57077.87,39528.56,-3531.33,-21080.64,FINAL
2024-04-18,CS_ENERGY,PRELIMINARY,847071.51,-72739.49,6417.23,780749.25,PENDING
2025-04-24,ERM_POWER,REVISED,138656.88,63973.46,-1507.05,201123.29,PENDING
2024-02-22,DELTA_ELECTRICITY,FINAL,528711.21,8477.97,-562.49,536626.69,FINAL
2024-04-04,ENGIE,REVISED,253476.87,8041.71,-11068.39,250450.19,FINAL
2025-03-27,SNOWY_HYDRO,REVISED,1839775.04,54955.92,-13195.78,1881535.18,PENDING
2024-06-06,ENERGY_AUSTRALIA,FINAL,190437.54,22961.79,-16125.61,197273.72,FINAL
2024-10-17,ORIGIN,PRELIMINARY,187644.06,35629.13,26931.51,250204.7,PENDING
2025-08-14,NEOEN,PRELIMINARY,894924.22,20684.48,3385.92,918994.62,PENDING
2024-05-02,STANWELL,REVISED,606372.17,12263.73,4753.27,623389.17,FINAL
2024-06-13,ACCIONA,REVISED,453814.92,-33392.89,1352.21,421774.24,FINAL
2024-01-25,ENGIE,FINAL,1847260.13,39334.11,4353.23,1890947.47,FINAL
2025-10-16,WIND_LAB_NS,FINAL,291341.47,-107998.39,26576.73,209919.81,FINAL
2024-08-15,NEOEN,FINAL,2310786.46,51336.76,-18649.58,2343473.64,FINAL
2024-05-09,HYDRO_TASMANIA,FINAL,567413.37,403777.04,-9841.91,961348.5,FINAL
2023-11-16,STANWELL,FINAL,163864.45,25712.61,-35365.69,154211.37,FINAL
2025-04-24,NEOEN,FINAL,688129.82,21790.96,-10418.7,699502.08,FINAL
2023-12-21,NEOEN,FINAL,-2582052.22,8483.08,2743.98,-2570825.16,FINAL
2024-02-01,ORIGIN,PRELIMINARY,148491.75,13929.15,11760.66,174181.56,PENDING
