work_order_id,asset_id,work_type,priority,status,created_date,completed_date,technician_id,crew_size,description,findings,materials_used,cost_aud,contractor
WO-3506F329,9135964c-f35a-410f-9077-1e7c1053eb4f,inspection,P3,completed,2022-04-02,2022-05-18,TECH9282,3,Annual thermographic inspection of 11kV ring main unit — all connections within acceptable temperature limits.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,No materials consumed — inspection and condition assessment only.,2161.9,False
WO-B6795D66,1ae88584-532c-4877-afaa-39e9e2a76a74,replacement,P4,completed,2024-05-05,2024-06-24,TECH4284,2,Install wildlife protection devices on exposed live conductors at bird-strike-prone section of 11kV overhead line.,All connections within specification. No evidence of partial discharge or tracking on insulators.,SF6 gas — grade 2.8 industrial (5 kg); refill adapter; leak detector.,50755.56,False
WO-44AC2542,d64bc95d-146a-437f-866b-de9990697654,repair,P4,completed,2022-07-19,2022-08-28,TECH8055,3,"Ground-level visual inspection of pole line — check for storm damage, vegetation encroachment, and structural defects.",Oil sample shows elevated dissolved hydrogen: 85 ppm. Repeat DGA in 3 months; schedule investigation if trend continues.,Wildlife protection — silicon rubber insulating covers (24 off); P-clips.,13615.01,True
WO-10137E20,e53bc937-8799-4815-8fd8-1ae0ddb8e4de,inspection,P3,completed,2025-09-10,2025-10-22,TECH6066,2,Battery string replacement in protection DC system — individual cell voltage and internal resistance within specification.,Hot spot identified at phase B terminal — thermal image attached. Torque and re-test prior to closing out work order.,No materials consumed — inspection and condition assessment only.,1836.95,True
WO-B0992F38,918dae3e-4dfc-49d2-951f-3359743c2b50,inspection,P3,completed,2022-04-04,2022-05-25,TECH2557,4,Annual thermographic inspection of 11kV ring main unit — all connections within acceptable temperature limits.,Two intermediate cross-arms showing advanced weathering. Replacement required within 6 months to maintain clearance.,No materials consumed — inspection and condition assessment only.,3797.15,True
WO-2C1DA0E3,ff414da3-d362-467a-a566-4cc580f81cee,repair,P3,completed,2022-03-13,2022-05-11,TECH6398,1,Replace deteriorated conductor on 300 m span — conductor grade reduced from AAAC to below acceptable limit.,"Meter reading discrepancy noted — field check confirms meter operating correctly, likely data comms issue at head-end.",Protection relay — Schneider MiCOM P14D; CT secondary test plugs.,2642.75,True
WO-BA62C680,cb613658-667b-4813-b819-657df2b2b049,emergency,P1,completed,2022-01-23,2022-01-24,TECH3791,2,Replace deteriorated conductor on 300 m span — conductor grade reduced from AAAC to below acceptable limit.,Hot spot identified at phase B terminal — thermal image attached. Torque and re-test prior to closing out work order.,"Conductor — ACSR Lark 150mm², 200m; 6 x strain insulators; compression fittings.",58140.15,False
WO-9103F74D,5e42bef4-1112-4af5-9afd-1b6f041e0f4f,repair,P2,completed,2022-03-01,2022-03-08,TECH3389,1,Inspection and torque-check of all bolted connections on 132kV bus section following conductor galloping incident.,Two intermediate cross-arms showing advanced weathering. Replacement required within 6 months to maintain clearance.,Wildlife protection — silicon rubber insulating covers (24 off); P-clips.,4690.97,True
WO-EE1A6BA8,ed2895ab-5dce-47fa-b750-4be6912b0906,inspection,P3,completed,2022-11-29,2022-12-02,TECH4962,3,"Substation security audit — CCTV operational, perimeter fencing integrity, lock audit.",Structure footing exposed by erosion — restore with compacted fill and inspect after next rainfall event.,No materials consumed — inspection and condition assessment only.,2153.31,True
WO-595E3248,887dd45a-b6c6-452a-b1a6-ee69038ea765,inspection,P3,completed,2024-02-20,2024-03-13,TECH7629,2,Replace all primary fuse links on overhead distribution feeder following end-of-life assessment.,Minor bird nesting detected in cable management duct — removed and deterrent installed.,No materials consumed — inspection and condition assessment only.,1674.87,False
